,0
0,BraTS20_Training_001_55_t1.png
1,BraTS20_Training_001_55_t2.png
2,BraTS20_Training_001_56_t1.png
3,BraTS20_Training_001_56_t2.png
4,BraTS20_Training_001_57_t1.png
5,BraTS20_Training_001_57_t2.png
6,BraTS20_Training_001_58_t1.png
7,BraTS20_Training_001_58_t2.png
8,BraTS20_Training_001_59_t1.png
9,BraTS20_Training_001_59_t2.png
10,BraTS20_Training_001_60_t1.png
11,BraTS20_Training_001_60_t2.png
12,BraTS20_Training_001_61_t1.png
13,BraTS20_Training_001_61_t2.png
14,BraTS20_Training_001_62_t1.png
15,BraTS20_Training_001_62_t2.png
16,BraTS20_Training_001_63_t1.png
17,BraTS20_Training_001_63_t2.png
18,BraTS20_Training_001_64_t1.png
19,BraTS20_Training_001_64_t2.png
20,BraTS20_Training_001_65_t1.png
21,BraTS20_Training_001_65_t2.png
22,BraTS20_Training_001_66_t1.png
23,BraTS20_Training_001_66_t2.png
24,BraTS20_Training_001_67_t1.png
25,BraTS20_Training_001_67_t2.png
26,BraTS20_Training_001_68_t1.png
27,BraTS20_Training_001_68_t2.png
28,BraTS20_Training_001_69_t1.png
29,BraTS20_Training_001_69_t2.png
30,BraTS20_Training_001_70_t1.png
31,BraTS20_Training_001_70_t2.png
32,BraTS20_Training_001_71_t1.png
33,BraTS20_Training_001_71_t2.png
34,BraTS20_Training_001_72_t1.png
35,BraTS20_Training_001_72_t2.png
36,BraTS20_Training_001_73_t1.png
37,BraTS20_Training_001_73_t2.png
38,BraTS20_Training_001_74_t1.png
39,BraTS20_Training_001_74_t2.png
40,BraTS20_Training_001_75_t1.png
41,BraTS20_Training_001_75_t2.png
42,BraTS20_Training_001_76_t1.png
43,BraTS20_Training_001_76_t2.png
44,BraTS20_Training_001_77_t1.png
45,BraTS20_Training_001_77_t2.png
46,BraTS20_Training_001_78_t1.png
47,BraTS20_Training_001_78_t2.png
48,BraTS20_Training_001_79_t1.png
49,BraTS20_Training_001_79_t2.png
50,BraTS20_Training_001_80_t1.png
51,BraTS20_Training_001_80_t2.png
52,BraTS20_Training_001_81_t1.png
53,BraTS20_Training_001_81_t2.png
54,BraTS20_Training_001_82_t1.png
55,BraTS20_Training_001_82_t2.png
56,BraTS20_Training_001_83_t1.png
57,BraTS20_Training_001_83_t2.png
58,BraTS20_Training_001_84_t1.png
59,BraTS20_Training_001_84_t2.png
60,BraTS20_Training_001_85_t1.png
61,BraTS20_Training_001_85_t2.png
62,BraTS20_Training_001_86_t1.png
63,BraTS20_Training_001_86_t2.png
64,BraTS20_Training_001_87_t1.png
65,BraTS20_Training_001_87_t2.png
66,BraTS20_Training_001_88_t1.png
67,BraTS20_Training_001_88_t2.png
68,BraTS20_Training_001_89_t1.png
69,BraTS20_Training_001_89_t2.png
70,BraTS20_Training_001_90_t1.png
71,BraTS20_Training_001_90_t2.png
72,BraTS20_Training_001_91_t1.png
73,BraTS20_Training_001_91_t2.png
74,BraTS20_Training_001_92_t1.png
75,BraTS20_Training_001_92_t2.png
76,BraTS20_Training_001_93_t1.png
77,BraTS20_Training_001_93_t2.png
78,BraTS20_Training_001_94_t1.png
79,BraTS20_Training_001_94_t2.png
80,BraTS20_Training_001_95_t1.png
81,BraTS20_Training_001_95_t2.png
82,BraTS20_Training_001_96_t1.png
83,BraTS20_Training_001_96_t2.png
84,BraTS20_Training_001_97_t1.png
